"country_name","glide_id","map_date","page_name","page_url"
"Afghanistan ","FL20140430AFG",2014-08-29,"Report: The Ab Barak landslide: past and future","http://www.unitar.org/unosat/node/44/2058"
"Afghanistan ","FL20140430AFG",2014-05-13,"Flood Waters Over Kulukh Tapah, Kunduz Province, Afghanistan","http://www.unitar.org/unosat/node/44/1992"
"Afghanistan ","FL20140430AFG",2014-05-08,"Update: Landslide in Ab Barek, Badakshan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1991"
"Afghanistan ","FL20140430AFG",2014-05-07,"Inundation Near Sar-E Pol, Sar-E Pol Province, Afghanistan","http://www.unitar.org/unosat/node/44/1990"
"Afghanistan ","FL20140430AFG",2014-05-07,"Flood Waters Over Khwaja Du Koh, Jawzjan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1989"
"Afghanistan ","FL20140430AFG",2014-05-06,"Estimated Rainfall Accumulation from 30 April to 06 May 2014, Afghanistan","http://www.unitar.org/unosat/node/44/1988"
"Afghanistan ","FL20140430AFG",2014-05-06,"UNOSAT LIVE Map: Floods and Landslide in Afghanistan","http://www.unitar.org/unosat/node/44/1987"
"Afghanistan ","FL20140430AFG",2014-05-04,"Landslide in Ab Barek, Badakshan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1986"
"Afghanistan ","FL20140430AFG",2014-05-02,"Inundation Near Sar-E Pol, Sar-E Pol Province, Afghanistan","http://www.unitar.org/unosat/node/44/1985"
"Afghanistan ","FL20140430AFG",2014-05-01,"Flood Waters and Inundation Near Khwaja Du Koh, Jawzjan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1983"
"Afghanistan ","FL20140430AFG",2014-05-01,"Flood Waters Over Khwaja Du Koh, Jawzjan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1981"
"Afghanistan ","FL20140430AFG",2014-05-01,"Estimated Rainfall Accumulation from 25 to 29 April 2014, Afghanistan","http://www.unitar.org/unosat/node/44/1980"
"Afghanistan ","FL20140430AFG",2014-05-01,"Flooding and IDPs in Kwanjanduko, Jowzjan Province, Afghanistan","http://www.unitar.org/unosat/node/44/1979"
"Afghanistan ","FL20140430AFG",2014-04-30,"Estimated Rainfall Accumulation from 23 to 24 April 2014, Afghanistan","http://www.unitar.org/unosat/node/44/1977"
"Afghanistan ","Other",2003-11-06,"AFGANISTAN PROVINCES WOODLAND CHANGE: Nuristan, Kunar, Nagarhar, 1977-2002","http://www.unitar.org/unosat/node/44/28"
"Afghanistan ","Other",2003-11-06,"AFGANISTAN PROVINCES WOODLAND: Nuristan, Kunar, Nagarhar, 1977 and 2002","http://www.unitar.org/unosat/node/44/27"
"Afghanistan ","Other",2003-11-06,"AFGANISTAN PROVINCES FOREST CHANGE: Takhar and Kunduz, 1977-2002","http://www.unitar.org/unosat/node/44/26"
"Afghanistan ","Other",2003-11-06,"AFGANISTAN PROVINCES WOODLAND: Takhar and Kunduz, 1977 and 2002","http://www.unitar.org/unosat/node/44/25"
"Afghanistan ","Other",2003-11-06,"AFGANISTAN PROVINCES WOODLAND: BADGHIS, 1977 and 2002","http://www.unitar.org/unosat/node/44/23"
"Afghanistan ","Other",2003-11-06,"AFGANISTAN PROVINCES FOREST CHANGE: BADGHIS, 1977-2002","http://www.unitar.org/unosat/node/44/24"
"Afghanistan ","Other",2003-11-06,"AFGANISTAN LAND COVER 2002","http://www.unitar.org/unosat/node/44/19"
"Afghanistan ","Other",2003-08-08,"AFGHANISTAN ADMINISTRATIVE UNITS","http://www.unitar.org/unosat/node/44/18"
"Afghanistan ","Other",2003-08-08,"AFGHANISTAN ADMINISTRATIVE UNITS (physical)","http://www.unitar.org/unosat/node/44/1146"
"Afghanistan ","Other",2003-08-08,"AFGANISTAN BASINS","http://www.unitar.org/unosat/node/44/41"
"Afghanistan ","Other",2003-08-08,"SEISTAN BASIN 1976-2002 changes","http://www.unitar.org/unosat/node/44/39"
"Afghanistan ","Other",2003-08-08,"SEISTAN BASIN 2001","http://www.unitar.org/unosat/node/44/38"
"Afghanistan ","Other",2003-08-08,"SEISTAN BASIN 1998","http://www.unitar.org/unosat/node/44/37"
"Afghanistan ","Other",2003-08-08,"SEISTAN BASIN 1987","http://www.unitar.org/unosat/node/44/36"
"Afghanistan ","Other",2003-08-08,"SEISTAN BASIN 1976","http://www.unitar.org/unosat/node/44/35"
"Afghanistan ","Other",2003-08-08,"KABUL, land cover changes 1986-2002","http://www.unitar.org/unosat/node/44/34"
"Afghanistan ","Other",2003-08-08,"KABUL, urban structure 2002","http://www.unitar.org/unosat/node/44/33"
"Afghanistan ","Other",2003-08-08,"KABUL, urban expansion 1986-2002","http://www.unitar.org/unosat/node/44/32"
"Afghanistan ","Other",2003-08-08,"KABUL, changes in cultivated areas 1986-2002","http://www.unitar.org/unosat/node/44/31"
"Afghanistan ","Other",2003-08-08,"KABUL, 2002","http://www.unitar.org/unosat/node/44/30"
"Afghanistan ","Other",2003-08-08,"KABUL, 1986","http://www.unitar.org/unosat/node/44/29"
"Afghanistan ","Other",2003-08-08,"REGISTAN SAND DUNES AREA: SAND DUNE MOVEMENTS 1986 and 2002","http://www.unitar.org/unosat/node/44/21"
"Afghanistan ","Other",2003-08-08,"SEISTAN BASIN landcover changes","http://www.unitar.org/unosat/node/44/40"
"Afghanistan ","Other",2003-08-05,"Person repatriated by UNCHR assistance, 2002","http://www.unitar.org/unosat/node/44/51"
"Afghanistan ","Other",2003-08-05,"ETHO-LINGUISTIC GROUPS","http://www.unitar.org/unosat/node/44/50"
"Afghanistan ","Other",2003-08-05,"COMBINED VULNIRABILITY INDICATORS: Landmines/UXO´s, Health & Food","http://www.unitar.org/unosat/node/44/49"
"Afghanistan ","Other",2003-08-05,"OPIUM PRODUCTION, 2002","http://www.unitar.org/unosat/node/44/48"
"Afghanistan ","Other",2003-08-04,"CONFLICT AND VULNERABLE POPULATION","http://www.unitar.org/unosat/node/44/17"
"Afghanistan ","Other",2003-08-04,"CONFLICT AND DRUG PRODUCTION","http://www.unitar.org/unosat/node/44/16"
"Afghanistan ","Other",2003-07-27,"REGISTAN SAND DUNES AREA: SAND DUNE MOVEMENTS 1986 and 2002","http://www.unitar.org/unosat/node/44/22"
"Albania","AC-2008-000036-ALB",2008-03-27,"Post-Explosion Satellite Imagery of Gerdec Munitions Depot, Affected High Risk Zone 800m, Albania","http://www.unitar.org/unosat/node/44/1135"
"Albania","AC-2008-000036-ALB",2008-03-25,"Overview of Munitions Depot Explosion - Affected 5 km Zone, Gerdec, Albania","http://www.unitar.org/unosat/node/44/1133"
"Albania","AC-2008-000036-ALB",2008-03-17,"Overview of Munitions Depot Explosion - Affected Area of Gerdec, Albania","http://www.unitar.org/unosat/node/44/1127"
"Albania","FR-2007-000105-ALB",2007-09-03,"UPDATE 1: Overview of Fires in Albania for August 2007","http://www.unitar.org/unosat/node/44/973"
"Albania","FR-2007-000105-ALB",2007-08-03,"Overview of Fires in Albania for July 2007","http://www.unitar.org/unosat/node/44/953"
"Albania","FR-2007-000105-ALB",2007-08-02,"Active Fires over the Affected Regions of Albania","http://www.unitar.org/unosat/node/44/952"
"Algeria","FR-2012-0816-DZA",2012-09-21,"Overview of wildfires in Northern Algeria","http://www.unitar.org/unosat/node/44/1676"
"Algeria","FR-2012-0816-DZA",2012-08-30,"Density of fire events in Northern Algeria between 1 June - 23 August 2012","http://www.unitar.org/unosat/node/44/1666"
"Algeria","FR-2012-0816-DZA",2012-08-30,"Wildfires in Northen Algeria 18 August 2012","http://www.unitar.org/unosat/node/44/1667"
"Algeria","Other",2006-03-22,"Situation map of Bejaia region","http://www.unitar.org/unosat/node/44/640"
"American Samoa","TS-2009-000209-ASM",2009-10-21,"Overview of Tsunami Damages on Tutuila Island, American Samoa","http://www.unitar.org/unosat/node/44/1389"
"Angola","FL-2009-000063-AGO",2009-05-14,"Crisis space map , Cunene province, Ombala-yo-Mungo, Angola","http://www.unitar.org/unosat/node/44/1361"
"Angola","FL-2009-000063-AGO",2009-05-14,"Impact map , Cunene province, Ombala-yo-Mungo, Angola","http://www.unitar.org/unosat/node/44/1360"
"Angola","FL-2009-000063-AGO",2009-05-13,"Reference Flood Overview Map, Cunene Region, Angola","http://www.unitar.org/unosat/node/44/1358"
"Angola","FL-2009-000063-AGO",2009-05-13,"Reference Space-map, Cunene Region, Angola","http://www.unitar.org/unosat/node/44/1357"
