"page_url","country_name","glide_id","dataset_date","page_name","title","img_url","url_1","url_2","url_3","url_4","url_5","url_6","n_product_links","notes"
"http://www.unitar.org/unosat/node/44/1?utm_source=unosat-unitar&utm_medium=rss&utm_campaign=maps","Iraq","Other","2003-07-30","IRAQ HUMANITARIAN PLANNING MAP- Version 1.3, updated as of 14 April 2003","IRAQ HUMANITARIAN PLANNING MAP- Version 1.3, updated as of 14 April 2003","http://maps.unosat.org/IQ/iraq_humanitarian_planning_map_A1_icon.jpg","http://maps.unosat.org/IQ/iraq_humanitarian_planning_map_A1.zip",NA,NA,NA,NA,NA,1,"Poster-size (A1) satellite image and thematic maps including:
Iraq general map w/border crossings and base of cross-border operations
Mean maximum temperature
Mean minimum temperature
Mean annual precipitation
Oil and gas pipelines
Water supply from nearby network tap or well
Water (litres) supplied per capita/day by network - Urban and rural areas
Population with sanitation from flush, sewage or septic tanks
Underweight children (&lt;5 years)
Children 6-11 years enrolled in primary school
Population distribution and governorates
Ethnoreligious groups
Humanitarian assistance regions, governorates with related Place-code"
"http://www.unitar.org/unosat/node/44/10?utm_source=unosat-unitar&utm_medium=rss&utm_campaign=maps","Iraq","Other","2003-07-16","WATER (LITRES) SUPPLIED PER CAPITA/DAY BY NETWORK - RURAL AREAS","WATER (LITRES) SUPPLIED PER CAPITA/DAY BY NETWORK - RURAL AREAS","http://maps.unosat.org/IQ/water_supply_quantity_rural_icon.jpg","http://maps.unosat.org/IQ/water_supply_quantity_rural.pdf","http://maps.unosat.org/IQ/water_supply_quantity_rural.jpg",NA,NA,NA,NA,2,"Distribution by governorate of the quantity of water supplied in served area, per capita for rural areas"
"http://www.unitar.org/unosat/node/44/100","Nepal","FL-2004-000051-NPL","2003-08-24","FLOODS: Dhading area - Zone 1","FLOODS: Dhading area - Zone 1","http://maps.unosat.org/NP/FloodMapZone1_icon.jpg","http://www.disasterscharter.org/home","http://maps.unosat.org/NP/FloodMapZone1.jpg",NA,NA,NA,NA,2,"Flood area extent from SPOT 5 (15/08/2003)"
"http://www.unitar.org/unosat/node/44/1000","Viet Nam","TC-2007-000178-VNM","2007-10-12","Flood Water Identification in Provinces of Thanh Hoa, Nghe An & Ninh Binh, Vietnam","Flood Water Identification in Provinces of Thanh Hoa, Nghe An & Ninh Binh, Vietnam","http://maps.unosat.org/VN/floods2007/UNOSAT_Flood_Map_ThanHoa_Vietnam_9Oct07_Lowres_v1.0_icon.jpg","http://maps.unosat.org/VN/floods2007/UNOSAT_Flood_Map_ThanHoa_Vietnam_9Oct07_Lowres_v1.0.jpg","http://maps.unosat.org/VN/floods2007/UNOSAT_Flood_Map_ThanHoa_Vietnam_9Oct07_Highres_v1.0.jpeg",NA,NA,NA,NA,2,"This map illustrates satellite detected flood water over the flood affected areas in northern Vietnam (depicted in red). Flood water analysis was made using MODIS Terra & Aqua data recorded from 7-9 October 2007, however thick cloud cover has prevented a complete analysis. Additional pre-flood MODIS data from September 2007 (depicted in blue) was used in this analysis. This flood detection is a preliminary analysis & has not yet been validated in the field. 
Map Scale:  1: 550,000 for A3
Projection: UTM Zone 48 North
Datum:  WGS-84
"
"http://www.unitar.org/unosat/node/44/1001","Viet Nam","TC-2007-000178-VNM","2007-10-18","Flood Water Identification in Province of Thua Thien Hue, Vietnam","Flood Water Identification in Province of Thua Thien Hue, Vietnam","http://maps.unosat.org/VN/floods2007/UNOSAT_Flood_Map_Hue_Vietnam_14Oct07_Lowres_v1.0_icon.jpg","http://maps.unosat.org/VN/floods2007/UNOSAT_Flood_Map_Hue_Vietnam_14Oct07_Lowres_v1.0.jpg","http://maps.unosat.org/VN/floods2007/UNOSAT_Flood_Map_Hue_Vietnam_14Oct07_Highres_v1.0.jpeg",NA,NA,NA,NA,2,"This map illustrates satellite detected flood water over the flood affected areas in Hue province, Vietnam (depicted in red). Flood water analysis was made using MODIS Terra & Aqua data recorded from 12-14 October 2007, however thick cloud cover has prevented a complete analysis. Additional pre-flood MODIS data from September 2007 (depicted in blue) was used in this analysis. This flood detection is a preliminary analysis & has not yet been validated in the field.
Map Scale: 1: 440,000 for A3
Projection: UTM Zone 49 North
Datum: WGS-84"
"http://www.unitar.org/unosat/node/44/1002","Indonesia","VO-2007-000186-IDN","2007-10-23","Overview Map of Volcano Mt. Kelud, Java, Indonesia","Overview Map of Volcano Mt. Kelud, Java, Indonesia","http://maps.unosat.org/ID/VO-2007-000186-IDN/UNOSAT_Volcano_Map_Kelud_23Oct2007_Lowres_v1.0_icon.jpg","http://maps.unosat.org/ID/VO-2007-000186-IDN/UNOSAT_Volcano_Map_Kelud_23Oct2007_Lowres_v1.0.jpg","http://maps.unosat.org/ID/VO-2007-000186-IDN/UNOSAT_Volcano_Map_Kelud_23Oct2007_Highres_v1.0.jpeg",NA,NA,NA,NA,2,"This map provides a basic overview of the populated areas, infrastructure and topography surrounding the volcano Mt. Kelud (Kelut), eastern Java. Population estimates evacuated from the threatened sub-districts (Kecamatan) were obtained from the OCHA situation report no. 2 of 18 October 2007. This is a preliminary map, and the information shown has not yet been validated in the field. 
Map Scale: 1:250,000
Projection: UTM Zone 49S 
Datum: WGS 1984
"
"http://www.unitar.org/unosat/node/44/1003","Nicaragua","FL-2007-000189-NIC","2007-10-25","Wet Season Rainfall Accumulation for Central America - 2007","Wet Season Rainfall Accumulation for Central America - 2007","http://maps.unosat.org/Central_America/Floods_2007/UNOSAT_CAmerica_Rainfall_May_Oct2007_lowres_v1.0_icon.jpg","http://maps.unosat.org/Central_America/Floods_2007/UNOSAT_CAmerica_Rainfall_May_Oct2007_lowres_v1.0.jpg","http://maps.unosat.org/Central_America/Floods_2007/UNOSAT_CAmerica_Rainfall_May_Oct2007_highres_v1.0.jpeg",NA,NA,NA,NA,2,"Rainfall from Daily NOAA-CMORPH Estimates (1 May to 24 October 2007)
This rainfall estimate was derived from the daily global CMORPH precipitation dataset at a spatial resolution of approximately 27km for this region, and was calculated using microwave and infrared data from geostationary satellites. It is possible that precipitation levels may have been underestimated for local areas, and is not a substitute for ground station measurements. For more information: http://www.cpc.ncep.noaa.gov/. This is a preliminary analysis and has not yet been validated in the field.
Map Scale for A3: 1:4,550,000
Projection:  Lambert Conformal Conic 
Datum : WGS 1984
"
"http://www.unitar.org/unosat/node/44/1004","Dominican Republic","TC-2007-000198-DOM","2007-10-31","Estimated Population Density over Dominican Republic & Haiti","Estimated Population Density over Dominican Republic & Haiti","http://maps.unosat.org/DO/Oct2007_Hurrican_Noel/UNOSAT_Tropical_Storm_Noel_PopDensity_Oct2007_lowres_icon.jpg","http://maps.unosat.org/DO/Oct2007_Hurrican_Noel/UNOSAT_Tropical_Storm_Noel_PopDensity_Oct2007_lowres.jpg","http://maps.unosat.org/DO/Oct2007_Hurrican_Noel/UNOSAT_Tropical_Storm_Noel_PopDensity_Oct2007_highres.jpeg",NA,NA,NA,NA,2,"This map illustrates the approximate track of tropical storm 'Noel' and the estimated population density (2004) over the affected provinces in the Dominican Republic. Population density (LandScan) has been estimated for 2004 and produced by the Oak Ridge National Laboratory. This is a preliminary analysis and has not yet been validated in the field. 
Map Scale for A2: 1:1,000,000
Projection: Lambert Conformal Conic
Datum: WGS 1984 
Map Production: UNOSAT (31 Oct. 2007)"
"http://www.unitar.org/unosat/node/44/1005","Dominican Republic","TC-2007-000198-DOM","2007-10-31","Est. Rainfall Accumulation (27 -29 Oct.2007) from Tropical Storm ""Noel"" over Dominican Republi","Est. Rainfall Accumulation (27 -29 Oct.2007) from Tropical Storm ""Noel"" over Dominican Republi","http://maps.unosat.org/DO/Oct2007_Hurrican_Noel/UNOSAT_Tropical_Storm_Noel_Rainfall_Oct2007_Lowres_icon.jpg","http://maps.unosat.org/DO/Oct2007_Hurrican_Noel/UNOSAT_Tropical_Storm_Noel_Rainfall_Oct2007_Lowres.jpg","http://maps.unosat.org/DO/Oct2007_Hurrican_Noel/UNOSAT_Tropical_Storm_Noel_Rainfall_Oct2007_Highres.jpeg",NA,NA,NA,NA,2,"This map presents the estimated rainfall accumulation from Tropical Storm 'Noel' over the affected provinces in the Dominican Republic from 27 to 29 October 2007. This estimate was derived from the daily global CMORPH precipitation dataset at a spatial resolution of approximately 27km. It is probable that precipitation levels have been underestimated in many areas and is not a substitute for ground station measurements. This is a preliminary analysis and has not yet been validated in the field. 
Map Scale for A2: 1:950,000
Projection : Lambert Conformal Conic 
Datum : WGS 1984"
"http://www.unitar.org/unosat/node/44/1006","Dominican Republic","TC-2007-000198-DOM","2007-11-01","Estimación del Acumulado de Precipitaciones ocasionadas por la Tormenta Tropical","Estimación del Acumulado de Precipitaciones ocasionadas por la Tormenta Tropical","http://maps.unosat.org/DO/Oct2007_Hurrican_Noel/UNOSAT_Tormenta_Tropical_Noel_Precipitaciones_Oct2007_Lowres_icon.jpg","http://maps.unosat.org/DO/Oct2007_Hurrican_Noel/UNOSAT_Tormenta_Tropical_Noel_Precipitaciones_Oct2007_Lowres.jpg","http://maps.unosat.org/DO/Oct2007_Hurrican_Noel/UNOSAT_Tormenta_Tropical_Noel_Precipitaciones_Oct2007_Highres.jpeg",NA,NA,NA,NA,2,"Este mapa representa el estimado de la acumulación de precipitaciones ocasionadas por la Tormenta Tropical ""Noel"" sobre las provincias afectadas de la República Dominicana del 27 al 29 de Octubre del 2007. Este estimado fue derivado de los datos globales diarios de precipitación CMORPH a una resolución espacial de aproximadamente 27 kms. Es probable que los niveles de precipitación hayan sido sub-estimados en muchas áreas y no sustituyen a las medidas realizadas por las estaciones metereológicas. Este es un análisis preliminar y no ha sido aún verificado sobre el terreno.
Escala del Mapa para A2: 1 :950,000
Proyección: Lambert Cónica Conforme
Datum: WGS84
"
